"","Country","Year","gdp","fertilityrate","netmigration","unemployment","primaryeducation","mortalityratefemale","mortalityratemale","labourforce","grossfixedcapital","secondaryeducation"
"1","Africa Eastern and Southern",1960,21290811193.8164,6.72412501084242,-90849,NA,NA,384.245064419231,448.240478625778,NA,NA,NA
"2","Afghanistan",1960,537777811.111111,7.282,2606,NA,NA,550.189,601.887,NA,NA,NA
"3","Africa Western and Central",1960,10404135069.15,6.45844789624312,-847,NA,NA,429.523640210379,492.571725645155,NA,NA,NA
"4","Australia",1960,18605666927.9875,3.453,86587,NA,NA,115.945,200.01,NA,5631089707.69403,NA
"5","Austria",1960,6592693841.18495,2.69,-2274,NA,NA,118.001,215.261,3377,NA,NA
"6","Burundi",1960,195999990,7.003,-14647,NA,NA,376.387,437.345,NA,12250000,NA
"7","Belgium",1960,11658722590.99,2.54,12907,NA,NA,109.843,209.462,3564,NA,NA
"8","Benin",1960,226195579.35701,6.282,-4725,NA,NA,434.205,458.537,NA,NA,NA
"9","Burkina Faso",1960,330442817.168859,6.248,-23329,NA,NA,425.692,482.146,NA,NA,NA
"10","Bangladesh",1960,4274893913.49536,6.784,13584,NA,NA,343.311,323.86,NA,NA,NA
"11","Bahamas, The",1960,169803921.568627,4.818,2287,NA,NA,242.519,352.444,NA,NA,NA
"12","Belize",1960,28071888.5622288,6.5,-625,NA,NA,217.93,289.237,NA,NA,NA
"13","Bermuda",1960,84466654.0769119,NA,-66,NA,NA,NA,NA,NA,NA,NA
"14","Bolivia",1960,373879363.595386,6.358,-3148,NA,NA,317.859,413.037,NA,NA,NA
"15","Brazil",1960,17030465539.3906,6.061,51401,NA,NA,278.299,354.358,NA,NA,NA
"16","Botswana",1960,30412308.9864012,6.628,-4329,NA,NA,329.135,441.089,NA,NA,NA
"17","Central African Republic",1960,112155598.949571,5.814,485,NA,NA,454.078,515.837,NA,NA,NA
"18","Canada",1960,40461721692.6468,3.811,44527,NA,NA,109.671,192.876,6411,NA,NA
"19","Switzerland",1960,9522746719.21614,2.44,22356,NA,NA,98.977,178.515,NA,NA,NA
"20","Chile",1960,4.11e+09,4.697,-27179,NA,NA,229.452,321.554,NA,608431562.454545,NA
"21","China",1960,59716467625.3148,4.451,-118519,NA,NA,482.386,598.591,NA,19495242407.9941,NA
"22","Cote d'Ivoire",1960,546203561.571989,7.691,31307,NA,NA,426.4,453.19,NA,NA,NA
"23","Cameroon",1960,614206071.002235,5.647,0,NA,NA,416.15,753.269,NA,NA,NA
"24","Congo, Dem. Rep.",1960,3359404117.64706,6.08,27672,NA,NA,412.293,456.569,NA,NA,NA
"25","Congo, Rep.",1960,131731862.568997,6.085,0,NA,NA,336.675,456.271,NA,NA,NA
"26","Colombia",1960,4031152976.63904,6.735,-49098,NA,NA,244.81,309.495,NA,765315915.599096,NA
"27","Costa Rica",1960,507513829.994855,6.712,1525,NA,NA,202.766,247.832,NA,81684793.2154073,NA
"28","Caribbean small states",1960,1880306125.08675,5.69361383340066,-46404,NA,NA,221.172376105178,287.482347313675,NA,NA,NA
"29","Dominican Republic",1960,672399700,7.555,-7545,NA,NA,269.892,356.271,NA,75700000,NA
"30","Algeria",1960,2723593384.78054,7.503,-55202,NA,NA,415.092,585.748,NA,NA,NA
"31","East Asia & Pacific (excluding high income)",1960,81346963310.4829,4.84193312604332,-211928,NA,NA,440.083111867181,548.15538880797,NA,22251630674.0373,NA
"32","Early-demographic dividend",1960,158207028110.518,6.16656172918316,-139849,NA,NA,351.67434348655,382.941051138456,NA,NA,NA
"33","East Asia & Pacific",1960,154634893528.042,4.56166172762989,-85134,NA,NA,399.793750298198,506.181180183062,NA,82245116271.5203,NA
"34","Ecuador",1960,2069465326.42335,6.721,-1742,NA,NA,274.139,328.894,NA,248314857.216299,NA
"35","Euro area",1960,244832979621.286,2.60586373097171,-200294,NA,NA,112.697498979289,197.007997260076,NA,NA,NA
"36","Spain",1960,12072126075.397,2.86,-150213,NA,NA,113.682,178.114,11727,NA,NA
"37","Finland",1960,5224102195.52771,2.72,-9445,NA,NA,117.063,254.083,2118,NA,NA
"38","Fiji",1960,112328422.113084,6.461,-830,NA,NA,312.21,355.258,NA,NA,NA
"39","France",1960,62225478000.8822,2.85,160864,NA,NA,115.166,217.036,18838,14047699938.1502,NA
"40","Gabon",1960,141468978.376811,4.422,0,NA,NA,345.817,402.961,NA,NA,NA
"41","United Kingdom",1960,73233967692.1028,2.69,2344,NA,NA,109.365,186.211,23986,NA,NA
"42","Ghana",1960,1217086834.73389,6.847,12176,NA,NA,331.159,410.517,NA,NA,NA
"43","Greece",1960,4335186016.83942,2.23,-51051,NA,NA,118.912,191.545,NA,974132652.279393,NA
"44","Guatemala",1960,1043599900,6.955,-182,NA,NA,389.862,402.476,NA,102100000,NA
"45","Guyana",1960,170215248.206265,6.372,-1349,NA,NA,301.955,393.676,NA,46432946.3921134,NA
"46","High income",1960,1069412103268.11,3.01900064477469,551768,NA,NA,132.010609038714,217.81935740606,NA,NA,NA
"47","Hong Kong SAR, China",1960,1320796651.69457,5.067,39211,NA,NA,156.718,289.019,NA,NA,NA
"48","Honduras",1960,335650000,7.458,-4090,NA,NA,311.061,392.023,NA,42100000,NA
